name,url,price,Tốc độ CPU,CPU,Tốc độ BUS,Loại CPU,Tốc độ tối đa,Hãng CPU,Bộ nhớ đệm,Tên đầy đủ (CPU),Số luồng,Số lõi,RAM,Loại RAM,Số khe cắm rời,Tốc độ RAM,Dung lượng nâng cấp tối đa,Số RAM onboard,Tên đầy đủ (RAM),Số khe RAM còn lại,Màn hình cảm ứng,Công nghệ màn hình,Màn hình,Độ phân giải,Tần số quét,Loại cảm ứng,Tấm nền,Tên đầy đủ (Màn hình),Độ tương phản,Độ sáng,Tỷ lệ màn hình,Độ phủ màu,Kiểu màn hình,Card đồ họa,Card rời,Có Card rời,Có Card onbroad,Hãng (Card onbroad),Model (Card onbroad),Model (Card rời),Xung nhịp tối đa (Card onbroad),Xung nhịp (Card onbroad),Đồ họa,Xung nhịp (Card rời),Xung nhịp tối đa (Card rời),Card onbroad,Bộ nhớ đồ họa (Card rời),Kiểu bộ nhớ,Hãng (Card rời),Tên đầy đủ (Card rời),Tổng số khe cắm SSD/HDD,Tốc độ đọc/ghi,Tốc độ quay HDD,Có SSD,Số khe SSD/HDD còn lại,Dung Lượng HDD,Ổ cứng,Dung lượng SSD,Kiểu HDD,Chuẩn M2,Kiểu SSD,Có HDD,Hỗ trợ công nghệ Optane,Khe đọc thẻ nhớ,Bluetooth,Số cổng Gigabit Ethernet,Số cổng HDMI,Số cổng VGA,Wireless,Số cổng Type-C,Số cổng USB 2.0,Webcame,Số cổng 3.5 mm headphone/speaker jack,Số cổng DC-in jack,Số cổng USB 3.0,Số cổng Thunderbolt,Số cổng Card reader,Senser,Công nghệ âm thanh,Số Loa,Nhận diện khuôn mặt,Mở khóa vân tay (Finger Print),Mật khẩu,Ổ đĩa quang,Loại ổ đĩa quang,Bàn phím số,Công nghệ đèn bàn phím,Kiểu bàn phím,TouchPad,Loại đèn bàn phím,Màu đèn LED,PIN có thể tháo rời,Loại PIN,PIN (Cell),Power Supply,Type,Version,Hệ điều hành,Chất liệu mặt bên ngoài cùng,Chất liệu khung màn hình,Width (mm),Tản nhiệt,Height (mm),Bản lề (Hinge / Kickstand),Trọng lượng (kg),Chất liệu mặt lưng,Kích thước (mm),Chất liệu mặt bàn phím + kê tay,Model Series,PN,Thời gian bảo hành,Xuất xứ,Năm ra mắt,Phụ kiện kèm theo (bút / bàn phím/ cáp chuyển…)
MSI Leopard Gaming GL65 10SCXK-089VN/i7-10750H,msi-leopard-gl65-10scxk-089vn-i7-10750h,24590000.0,2.60 GHz,Core i7,Đang cập nhật,10750H,5.00 GHz,Intel,12 MB Smart Cache,Intel Core i7-10750H,12,6,8 GB,DDR4,2,2666 MHz,64 GB,0,8 GB DDR4 2666 MHz,1,Không,"IPS LCD LED Backlit, True Tone","15.6""",1920 x 1080 Pixel,144 Hz,Không,IPS,Đang cập nhật,Đang cập nhật,Đang cập nhật,16:09,45% NTSC,LED,GeForce GTX 1650 4GB,GeForce Series,Có,Có,Intel,Đang cập nhật,GTX 1650,Đang cập nhật,Đang cập nhật,Intel UHD Graphics 630,Đang cập nhật,Đang cập nhật,UHD Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650 4 GB,2,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,2280,M2. PCIe,Không,Không,Có,Đang cập nhật,1,1,0,802.11 ax Wi-Fi 6,1,0,720p FaceTime HD camera,1,0,3,0,0,Không,Đang cập nhật,2,Không,Không,Không,Không,Không,Có,SRGB,Đang cập nhật,Multi-touch touchpad,Đang cập nhật,Đang cập nhật,Không,Lithium-Polymer,6 Cell,180 W,64 bit,Home Single Language,Windows 10,Nhôm,Đang cập nhật,357,2 quạt,27.5,Bản lề đôi,2.3,Đang cập nhật,248,Nhôm,MSI GL,089VN,24 Tháng,Trung Quốc,2020,"sạc, sách HDSD"
MSI GF63 Thin 10SCXR-427VN/Core i5-10300H,msi-gf63-thin-10scxr-427vn-i5-10300h,21190000.0,2.50 GHz,Core i5,8 GT/s,10300H,4.50 GHz,Intel,8 MB Smart Cache,Intel Core i5-10300H,8,4,8 GB,DDR4,2,2666 MHz,32 GB,0,8 GB DDR4 2666 MHz,1,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,Đang cập nhật,16:09,45% NTSC,LED,GeForce GTX 1650 MaxQ 4GB,GeForce Series,Có,Có,Intel,UHD,GTX 1650 Max-Q,Đang cập nhật,Đang cập nhật,Intel UHD Graphics,Đang cập nhật,Đang cập nhật,UHD Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650 Max-Q 4 GB,2,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,2280,M2. PCIe,Không,Không,Không,v5.0,1,1,0,802.11 ax,1,0,VGA Web Camera,1,1,3,0,0,Không,Đang cập nhật,2,Không,Không,Có,Không,Không,Không,Đơn sắc,Chiclet Keyboard,Đang cập nhật,LED,Red,Không,Lithium-Polymer,3 Cell,120 W,64 bit,Home,Windows 10,Nhôm,Nhựa,359,Cooler Boost,21.7,Hinge,1.86,Nhựa,254,Nhôm,MSI GF,427VN,12 Tháng,Trung Quốc,2020,"Adapter Sạc, HDSD"
HP Pavilion Gaming 15 ec1054AX R5 4600H/1N1H6PA,hp-pavilion-gaming-15-ec1054ax-r5-4600h,19590000.0,3.0 GHz,Ryzen 5,8 GT/s DMI,4600H,4.0 GHz,AMD,8MB L3 Cache,AMD Ryzen 5-4600H,12,6,8 GB,DDR4,2,3200 MHz,16 GB,0,8 GB DDR4 3200 MHz,1,Không,IPS LCD,"15.6""",1920 x 1080 Pixels,144 Hz,Không,IPS,"15.6"" Diagonal Anti-glare LED-backlit",Đang cập nhật,250 nits,16:09,45% NTSC,LED,GeForce GTX 1650 4GB,GeForce Series,Có,Có,AMD,Vega 6,GTX 1650,1600 MHz,Đang cập nhật,AMD Radeon Graphics Vega 6,Đang cập nhật,Đang cập nhật,Radeon RX Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650 4 GB,2,Đang cập nhật,7200 rpm,Có,0,1 TB,HDD 1000 GB & SSD 128 GB,128 GB,Đang cập nhật,Đang cập nhật,M2. PCIe,Có,Không,SD,v5.0,1,1,0,802.11 ac (2x2),1,0,1.0 MP,1,1,3,0,1,Không,Audio by B&O,Đang cập nhật,Không,Không,Không,Không,Không,Có,Đang cập nhật,Full-size,Đang cập nhật,LED,Đang cập nhật,Không,"Lithium-Ion, Liền",3 Cells,Đang cập nhật,Đang cập nhật,Đang cập nhật,Windows 10 Home SL 64,Nhựa,Nhựa,360,2 quạt,22.5,Bản lề đôi,1.98 Kg,Nhựa,257,Nhựa,HP Pavilion,1N1H6PA,12 Tháng,Trung Quốc,2020,"Sạc, sách HDSD"
 HP Pavilion Gaming 15-ec0050AX/R5-3550H,hp-pavilion-gaming-15-ec0050ax-r5-3550h,18990000.0,2.10 GHz,Ryzen 5,8 GT/s,3550H,3.70 GHz,AMD,4 MB L3 Cache,AMD Ryzen 5-3550H,8,4,8 GB,DDR4,2,2400 MHz,16 GB,0,8 GB DDR4 2400 MHz,1,Không,Anti-glare Micro-edge WLED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" Anti-glare Micro-edge WLED-backlit",Đang cập nhật,300 nits,16:09,72% NTSC,LED,GeForce GTX 1650 4GB,GeForce Series,Có,Có,AMD,Vega 8,GTX 1650,1300 MHz,300 MHz,AMD Radeon Graphics Vega 8,Đang cập nhật,Đang cập nhật,Radeon Graphics,4 GB,GDDR5,NVIDIA,NVIDIA GeForce GTX 1650 4 GB,2,Đang cập nhật,7200 rpm,Có,0,1000 GB,HDD 1000 GB & SSD 128 GB,128 GB,SATA 3,2280,M2. PCIe,Có,Đang cập nhật,SD,v5.0,1,1,0,802.11 a/b/g/n/ac,1,1,HD Web Camera,1,1,1,0,1,Không,Audio by B&O,2,Không,Không,Có,Không,Không,Có,Đơn sắc,Full-size,Đang cập nhật,LED,Xanh axit,Không,Lithium-ion,3 Cell,150 W,64 bit,Home Single Language,Windows 10,Nhựa,Nhựa,360,2 quạt,23.5,Bản lề đôi,1.98,Nhựa,257,Nhựa,HP Pavilion,9AV28PA,12 Tháng,Trung Quốc,2019,"Sạc, sách HDSD"
Lenovo Legion Y540-15IRH/i7-9750H,lenovo-legion-y540-15irh-i7-9750h,26490000.0,2.60 GHz,Core i7,8 GT/s,9750H,4.50 GHz,Intel,12 MB Smart Cache,Intel Core i7-9750H,12,6,8 GB,DDR4,2,2666 MHz,32 GB,Đang cập nhật,8 GB DDR4 2666 MHz,Đang cập nhật,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,250 nits,Đang cập nhật,45% NTSC,LED,GeForce GTX 1650 4GB,GeForce Series,Có,Có,Intel,630,GTX 1650,1150 MHz,350 MHz,Intel UHD Graphics 630,Đang cập nhật,Đang cập nhật,UHD Graphics,4 GB,GDDR5,NVIDIA,NVIDIA GeForce GTX 1650 4 GB,Đang cập nhật,32 Gb/s,Không,Có,Đang cập nhật,Không,SSD 1000 GB,1 TB,Không,Đang cập nhật,Đang cập nhật,Không,Đang cập nhật,"SD, SDXC, SDHC, MMC",v4.2,1,1,Đang cập nhật,802.11 ac,1,Đang cập nhật,HD Web Camera,1,1,3,Đang cập nhật,Đang cập nhật,Không,Harman Kardon speakers,2,Không,Không,Không,Không,Đang cập nhật,Có,Đơn sắc,"6-row, multimedia Fn keys, numeric keypad",2-button Mylar surface multi-touch touchpad,LED,White,Không,Lithium-ion,3 Cell,Đang cập nhật,64 bit,Home,Windows 10,ABS plastic,ABS plastic,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,2.3,ABS plastic,Đang cập nhật,ABS plastic,Lenovo Legion,81SY00GTVN,12 Tháng,Trung Quốc,2019,SẠC
Asus TUF FA506II-AL016T/R7-4800H,asus-tuf-fa506ii-al016t-r7-4800h,23990000.0,2.90 GHz,Ryzen 7,8 GT/s,4800H,4.20 GHz,AMD,8 MB L3 Cache,AMD Ryzen 7-4800H,16,8,8 GB,DDR4,2,3200 MHz,32 GB,0,8 GB DDR4 3200 MHz,1,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,144 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,250 nits,16:09,45% NTSC,LED,GeForce GTX 1650 Ti 4GB,GeForce Series,Có,Có,AMD,Radeon,GTX 1650Ti,1600 MHz,300 MHz,AMD Radeon Graphics,Đang cập nhật,Đang cập nhật,Radeon Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650Ti 4 GB,1,Đang cập nhật,Không,Có,0,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Đang cập nhật,Không,v5.0,1,1,Đang cập nhật,802.11 ac,1,2,HD Web Camera,1,1,1,Đang cập nhật,0,Không,Đang cập nhật,2,Không,Không,Có,Không,Không,Có,SRGB,Chiclet Keyboard,Đang cập nhật,LED,Đang cập nhật,Không,Lithium-Polymer,3 Cell,150 W,64 bit,Home,Windows 10,Kim Loại,Nhựa,359,Đang cập nhật,24.7,Ergolift,2.3,Nhựa,256,Nhựa,Asus TUF Gaming,FA506II-AL016T,24 Tháng,Trung Quốc,2020,"sạc, sách HDSD"
Acer Nitro Gaming 5 AN515 54 595D/i5-9300H,acer-nitro-an515-54-595d-i5-9300h,19990000.0,2.40 GHz,Core i5,8 GT/s,9300H,4.10 GHz,Intel,8 MB Smart Cache,Intel Core i5-9300H,8,4,8 GB,DDR4,2,2400 MHz,32 GB,Đang cập nhật,8 GB DDR4 2400 MHz,1,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,Đang cập nhật,16:09,Đang cập nhật,LED,GeForce GTX 1650 4GB,Không,Không,Có,Intel,630,Không,Đang cập nhật,Đang cập nhật,Intel UHD Graphics 630,Đang cập nhật,Đang cập nhật,UHD Graphics,Không,Đang cập nhật,Không,Không,3,Đang cập nhật,Không,Có,2,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Có,N/A,Đang cập nhật,Đang cập nhật,1,Đang cập nhật,802.11 ax,1,1,HD Web Camera,1,1,2,Đang cập nhật,Đang cập nhật,Không,Acer TrueHarmony,2,Không,Không,Không,Không,Đang cập nhật,Có,Đơn sắc,Đang cập nhật,Đang cập nhật,LED,Red,Không,Lithium-Polymer,4 Cell,Đang cập nhật,64 bit,Home,Windows 10,Nhựa,Nhựa,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,2.3,Nhựa,Đang cập nhật,Nhựa,Acer Nitro,NH.Q59SV.025,12 Tháng,Trung Quốc,2019,"Sạc, sách HD"
MTXT MSI GF63 9SCXR i5 9300H/075VN,msi-gf63-9scxr-i5-9300h,18490000.0,2.40 GHz,Core i5,8 GT/s,9300H,4.10 GHz,Intel,8 MB Smart Cache,Intel Core i5-9300H,8,4,8 GB,DDR4,2,2666 MHz,64 GB,0,8 GB DDR4 2666 MHz,1,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,Đang cập nhật,16:09,45% NTSC,LED,GeForce GTX 1650 4GB,GeForce Series,Có,Có,Intel,630,GTX 1650 Max-Q,Đang cập nhật,Đang cập nhật,Intel UHD Graphics 630,Đang cập nhật,Đang cập nhật,UHD Graphics,4 GB,GDDR5,NVIDIA,NVIDIA GeForce GTX 1650 Max-Q 4 GB,2,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,2280,M2. PCIe,Không,Có,N/A,v4.0,1,1,0,802.11 ac,Đang cập nhật,Đang cập nhật,HD Web Camera,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Không,Đang cập nhật,2,Không,Không,Có,Không,Không,Có,Đơn sắc,Chiclet Keyboard,Đang cập nhật,LED,Red,Không,Lithium-ion,3 Cell,Đang cập nhật,64 bit,Home,Windows 10,Nhôm,Nhựa,359,Cooler Boost,21.7,Hinge,1.86,Nhựa,254,Nhôm,MSI GF,075VN,12 Tháng,Trung Quốc,2020,"sạc, sách HDSD"
Asus TUF FA506II-AL012T/R5-4600H,asus-tuf-fa506ii-al012t-r5-4600h,22490000.0,3.00 GHz,Ryzen 5,8 GT/s,4600H,4.00 GHz,AMD,8 MB L3 Cache,AMD Ryzen 5-4600H,12,6,8 GB,DDR4,2,3200 MHz,32 GB,0,8 GB DDR4 3200 MHz,1,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,144 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,250 nits,16:09,45% NTSC,LED,GeForce GTX 1650 Ti 4GB,GeForce Series,Có,Có,AMD,Radeon,GTX 1650,Đang cập nhật,Đang cập nhật,AMD Radeon Graphics,Đang cập nhật,Đang cập nhật,Radeon Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650Ti 4 GB,1,Đang cập nhật,Không,Có,0,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Đang cập nhật,N/A,v5.0,Đang cập nhật,1,Đang cập nhật,802.11 ac,1,2,HD Web Camera,1,1,1,Đang cập nhật,Đang cập nhật,Không,Đang cập nhật,2,Không,Không,Có,Không,Không,Có,SRGB,Chiclet Keyboard,Đang cập nhật,LED,Đang cập nhật,Không,Lithium-Polymer,3 Cell,150 W,64 bit,Home,Windows 10,Kim Loại,Nhựa,359,Đang cập nhật,24.7,Ergolift,2.3,Nhựa,256,Nhựa,Asus TUF Gaming,FA506II-AL012T,24 Tháng,Trung Quốc,2020,"sạc, sách HDSD"
ACER Aspire Gaming 7 A715-41G-R1AZ/R7-3750H,acer-aspire-gaming-7-a715-41g-r1az-r7-3750h,19990000.0,2.30 GHz,Ryzen 7,8 GT/s,3750H,4.00 GHz,AMD,4 MB L3 Cache,AMD Ryzen 7-3750H,8,4,8 GB,DDR4,2,2666 MHz,32 GB,0,8 GB DDR4 2666 MHz,1,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,Đang cập nhật,16:09,Đang cập nhật,LED,GeForce GTX 1650 4GB,GeForce Series,Có,Có,AMD,Vega 10,GTX 1650,Đang cập nhật,Đang cập nhật,AMD Radeon RX Graphics Vega 10,Đang cập nhật,Đang cập nhật,Radeon RX Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650 4 GB,3,Đang cập nhật,Không,Có,2,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Có,Không,v5.0,1,1,Đang cập nhật,802.11 ax,1,1,HD Web Camera,1,1,2,Đang cập nhật,Đang cập nhật,Không,Acer TrueHarmony,2,Không,Không,Có,Không,Không,Có,Đơn sắc,Đang cập nhật,Đang cập nhật,LED,Red,Không,Lithium-ion,3 Cell,Đang cập nhật,64 bit,Home,Windows 10,Nhựa,Nhựa,363.4,2 quạt,23.25,Đang cập nhật,2.1,Nhựa,254.5,Nhựa,Acer Aspire,NH.Q8DSV.003,12 Tháng,Trung Quốc,2020,"sạc, sách HDSD"
Asus Vivobook S530UA-BQ072T/Core i3-8130U,asus-vivobook-s530ua-bq072t-core-i3-8130u,9590000.0,2.20 GHz,Core i3,4 GT/s,8130U,3.40 GHz,Intel,4 MB Smart Cache,Intel Core i3-8130U,4,2,4 GB,DDR4,Đang cập nhật,2400 MHz,16 GB,Đang cập nhật,4 GB DDR4 2400 MHz,Đang cập nhật,Không,Anti-glare LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" Anti-glare LED-backlit",Đang cập nhật,Đang cập nhật,16:09,Đang cập nhật,LED,Intel UHD Graphics 620,Không,Không,Có,Intel,620,Không,1100 MHz,300 MHz,Intel UHD Graphics 620,Không,Không,UHD Graphics,Không,Không,Không,Không,2,Không,Đang cập nhật,Không,1,1 TB,HDD 1 TB,Không,SATA 3,Không,Không,Có,Có,microSD,v4.2,0,1,0,802.11 a/b/g/n,1,2,HD Web Camera,1,1,1,0,1,Không,ASUS SonicMaster stereo,Đang cập nhật,Không,Có,Có,Không,Không,Có,Đơn sắc,"6-row, multimedia Fn keys, numeric keypad",Multi-touch touchpad,LED,White,Không,Lithium-ion,3 Cell,45 W,64 bit,Home,Windows 10,Kim Loại,Nhựa,361,Đang cập nhật,18,Đang cập nhật,1.8,Nhựa,243,Kim loại,Asus VivoBook,S530UA-BQ072T,24 Tháng,Trung Quốc,2018,"Sạc, HDSD"
Asprire A515-53-50ZD/Core i5-8265U/NX.H6DSV.001,asprise-a515-53-50zd-core-i5-8265u,9790000.0,1.60 GHz,Core i5,4 GT/s,8265U,3.90 GHz,Intel,6 MB Smart Cache,Intel Core i5-8265U,8,4,4 GB,DDR4,Đang cập nhật,2666 MHz,32 GB,Đang cập nhật,4 GB DDR4 2666 MHz,1,Không,Anti-glare LED-backlit,"15.6""",1366 x 768 Pixel,Đang cập nhật,Không,Đang cập nhật,"15.6"" Anti-glare LED-backlit",Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,LED,Card Onboard,Không,Không,Có,Intel,UHD,Không,1100 MHz,300 MHz,Intel UHD Graphics,Không,Không,UHD Graphics,Không,Không,Không,Không,Đang cập nhật,Đang cập nhật,5400 rpm,Không,Đang cập nhật,1000 GB,Đang cập nhật,Đang cập nhật,SATA 3,Đang cập nhật,Đang cập nhật,Có,Đang cập nhật,Multi-in-1 card reader(SD\SDXC),Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,802.11 ac,Đang cập nhật,Đang cập nhật,Không,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Không,Đang cập nhật,Đang cập nhật,Không,Không,Không,DVD+RW,Đang cập nhật,Có,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Không,Lithium-ion,3 Cell,Đang cập nhật,64 bit,Home Single Language,Windows 10,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,2.072,Đang cập nhật,Đang cập nhật,Đang cập nhật,Acer Aspire,NX.H6DSV.001,12 Tháng,Trung Quốc,Đang cập nhật,"sạc, sách..."
Dell Vostro V5581/Core i5-8265U/70194504,dell-vostro-v5581-core-i5-8265u-finger-70194504,12593000.0,1.60 GHz,Core i5,4 GT/s,8265U,3.90 GHz,Intel,6 MB Smart Cache,Intel Core i5-8265U,8,4,4 GB,DDR4,2,2666 MHz,32 GB,0,4 GB DDR4 2666 MHz,1,Không,Anti-glare LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,Đang cập nhật,"15.6"" Anti-glare LED-backlit",Đang cập nhật,Đang cập nhật,16:09,45% NTSC,LED,Card Onboard,Không,Không,Có,Intel,UHD,Không,1100 MHz,300 MHz,Intel UHD Graphics,Không,Không,UHD Graphics,Không,Không,Không,Không,Đang cập nhật,Không,5400 rpm,Không,Đang cập nhật,1000 GB,Đang cập nhật,Không,SATA 3,Đang cập nhật,Không,Có,Đang cập nhật,SD,Đang cập nhật,1,Đang cập nhật,Đang cập nhật,802.11 ac,0,Đang cập nhật,HD Web Camera,Đang cập nhật,1,Đang cập nhật,Đang cập nhật,Đang cập nhật,FingerPrint,Đang cập nhật,2,Không,Có,Không,Không,Không,Không,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Không,Lithium-ion,3 Cell,Đang cập nhật,64 bit,Home,Windows 10,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,1.9,Đang cập nhật,Đang cập nhật,Đang cập nhật,Dell Vostro,70194504,12 Tháng,Trung Quốc,Đang cập nhật,"Sạc, sách HDSD"
HP Pavilion 14-ce2036TU/Core i3-8145U,hp-pavilion-14-ce2036tu-core-i3-8145u,8883000.0,2.10 GHz,Core i3,4 GT/s,8145U,3.90 GHz,Intel,4 MB Smart Cache,Intel Core i3-8145U,4,2,4 GB,DDR4,1,2400 MHz,8 GB,0,4 GB DDR4 2400 MHz,0,Không,LED-backlit,"14.0""",1920 x 1080 Pixel,60 Hz,Không,Đang cập nhật,"14.0"" LED-backlit",Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,LED,Intel QHD Graphics 620,Không,Không,Có,Intel,620,Không,1100 MHz,300 MHz,Intel UHD Graphics 620,Không,Không,UHD Graphics,Không,Không,Không,Không,Đang cập nhật,Đang cập nhật,5400 rpm,Không,Đang cập nhật,500 GB,HDD 500 GB,Đang cập nhật,SATA 3,Đang cập nhật,Đang cập nhật,Có,Đang cập nhật,1 multi-format SD media card reader,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,802.11 b/g/n,Đang cập nhật,Đang cập nhật,HD Web Camera,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,Không,Đang cập nhật,Đang cập nhật,Không,Không,Không,Không,Đang cập nhật,Không,Không,Bàn phím cứng,Đang cập nhật,LED,Không,Không,Lithium-ion,3 Cell,Đang cập nhật,64 bit,Home Single Language,Windows 10,Nhựa,Nhựa,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,1.53,Nhựa,Đang cập nhật,Nhựa,HP Pavilion,6YZ19PA,12 Tháng,Trung Quốc,2018,45 W AC power adapter
Acer Aspire A315 56 37DV i3 1005G1/Đen/NX.HS5SV.001,acer-aspire-3-a315-56-37dv-i3-1005g1,10190000.0,1.20 GHz,Core i3,4 GT/s,1005G1,3.40 GHz,Intel,4 MB Smart Cache,Intel Core i3-1005G1,4,2,4 GB,DDR4,2,2400 MHz,12 GB,Đang cập nhật,4 GB DDR4 2400 MHz,1,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,Đang cập nhật,"15.6"" LED-backlit",Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,LED,Card Onboard,Không,Không,Có,Intel,UHD,Không,900 MHz,300 MHz,Intel UHD Graphics,Không,Không,UHD Graphics,Không,Không,Không,Không,2,Đang cập nhật,Không,Có,1,Không,SSD 256 GB,256 GB,Không,Đang cập nhật,M2. PCIe,Không,Có,Multi-in-1 card reader(SD\SDXC),Đang cập nhật,1,1,0,802.11 ac,0,2,VGA Web Camera,1,1,1,Đang cập nhật,0,Không,Acer TrueHarmony,2,Không,Không,Không,Không,Không,Có,Không,Đang cập nhật,Đang cập nhật,Không,Không,Không,Lithium-ion,2 Cell,Đang cập nhật,64 bit,Home,Windows 10,Nhựa,Nhựa,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,1.7,Nhựa,Đang cập nhật,Nhựa,Acer Aspire,NX.HS5SV.001,12 Tháng,Trung Quốc,2020,"sạc, sách..."
Lenovo IdeaPad S145-15IIL i3 1005G1/81W800R2VN,lenovo-ideapad-s145-15iil-i3-1005g1,9990000.0,1.20 GHz,Core i3,Đang cập nhật,1005G1,3.40 GHz,Intel,4 MB Cache,Intel Core i3-1005G1,4,2,4 GB,DDR4,1,2666 MHz,12 GB,1,4 GB DDR4 2666 MHz,0,Không,Anti-glare LED-backlit,"15.6""",1920 x 1080 Pixel,Đang cập nhật,Không,TN,"15.6"" Anti-glare LED-backlit",Đang cập nhật,220 nits,16:09,45% NTSC,LED,Card Onboard,Không,Không,Có,Intel,UHD,Không,Đang cập nhật,Đang cập nhật,Intel UHD Graphics,Không,Đang cập nhật,UHD Graphics,Không,Không,Không,Không,1,Đang cập nhật,Không,Có,0,Không,SSD 256 GB,256 GB,Không,2242,M2. PCIe,Không,Không,"4-in-1 media reader (MMC, SD, SDHC, SDXC)",v5.0,0,1,0,802.11 ac,0,1,HD Web Camera,1,0,2,0,1,Không,Dolby Audio,2,Không,Không,Không,Không,Không,Có,Không,Chiclet Keyboard,Đang cập nhật,Không,Không,Không,Lithium-Polymer,2 Cell,33 W,64 bit,Đang cập nhật,Windows 10,ABS plastic,Nhựa,361.6,Đang cập nhật,19.93,Đang cập nhật,1.85,ABS plastic,251,ABS plastic,Lenovo IdeaPad,81W800R2VN,12 Tháng,Trung Quốc,2019,"Sạc, Sách HDSD"
